id	type	question	option	answer
4011.	SC	What are the minimum qualifications for a person who occupies the other control seat as safety pilot during simulated instrument flight?	['A) Private pilot certificate with appropriate category and class ratings for the aircraft.', 'B) Private pilot with instrument rating.', 'C) Private pilot with appropriate category class, and instrument ratings.']	['A']
4012.	SC	The minimum instrument time required, within the last 6 months, to be current for IFR is	['A) six instrument approaches, holding procedures, and intercepting and tracking courses.', 'B) six hours in the same category aircraft.', 'C) six hours in the same category aircraft, and at least 3 of the 6 hours in actual IFR.']	['A']
4013.	SC	After your recent IFR experience lapses, how much time do you have before you must pass an instrument competency check to act as pilot in command under IFR?	['A) 6 months.', 'B) 90 days.', 'C) 12 months.']	['A']
4014.	SC	An instrument rated pilot, who has not logged any instrument time in 1 year or more, cannot serve as pilot in command under IFR, unless the pilot	['A) completes the required 6 hours and six approaches, followed by an instrument competency check given by an FAA-designated examiner.', 'B) passes an instrument competency check in the category of aircraft involved, given by an approved FAA examiner, instrument instructor, or FAA inspector.', 'C) passes an instrument competency check in the category of aircraft involved, followed by 6 hours and six instrument approaches, 3 of those hours in the category of aircraft involved.']	['B']
4015.	SC	A pilot’s recent IFR experience expires on July 1 of this year. What is the latest date the pilot can meet the IFR experience requirement without having to take an instrument competency check?	['A) December 31, this year.', 'B) June 30, next year.', 'C) July 31, this year.']	['A']
4017.	SC	What minimum conditions are necessary for the instrument approaches required for IFR currency?	['A) The approaches may be made in an aircraft, approved instrument ground trainer, or any combination of these.', 'B) At least three approaches must be made in the same category of aircraft to be flown.', 'C) At least three approaches must be made in the same category and class of aircraft to be flown.']	['A']
4020.	SC	How may a pilot satisfy the recent instrument experience requirement necessary to act as pilot in command in IMC in powered aircraft?	['A) Log six instrument approaches, holding procedures, and intercepting and tracking courses using navigational systems.', 'B) Log six instrument approaches and 3 hours under actual or simulated IFR conditions within the last 6 months; three of the approaches must be in the category of aircraft involved.', 'C) Log 6 hours of instrument time under actual or simulated IFR conditions within the last 3 months, including at least six instrument approaches of any kind. Three of the 6 hours must be in flight in any category aircraft.']	['A']
4021.	SC	How long does a pilot remain current for IFR flight after successfully completing an instrument competency check if no further IFR flights are made?	['A) 90 days.', 'B) 6 months.', 'C) 12 months.']	['B']
4023.	SC	What recent instrument flight experience requirements must be met before you may act as pilot in command of an airplane under IFR?	['A) A minimum of six instrument approaches in an airplane, or an approved simulator (airplane) or ground trainer, within the preceding 6 calendar months.', 'B) A minimum of six instrument approaches in an aircraft at least three of which must be in the same category within the preceding 6 calendar months.', 'C) A minimum of six instrument approaches at least three of which must be in an aircraft within the preceding 6 calendar months.']	['A']
4024.	SC	Under which condition are you required to have an instrument rating for flight in VMC?	['A) Flight through an MOA.', 'B) Flight into an ADIZ.', 'C) Flight into class A airspace.']	['C']
4025.	SC	The pilot in command of a civil aircraft must have an instrument rating only when operating	['A) under IFR in controlled airspace and in a positive control area or positive control route segment.', 'B) under IFR, in weather conditions less than the minimum for VFR flight, and in Class A airspace.', 'C) in weather conditions less than the minimum prescribed for VFR flight.']	['B']
4026.	SC	What additional instrument experience is required for you to meet the recent flight experience to act as pilot in command of an airplane under IFR? Your present instrument experience within the preceding 6 calendar months is: 1. 3 hours with holding, intercepting, and tracking courses in an approved airplane flight simulator. 2. two instrument approaches in an airplane.	['A) Four instrument approaches in an approved flight simulator that is representative of the airplane category.', 'B) Three hours of simulated or actual instrument flight time in a helicopter and two instrument approaches in an airplane or helicopter.', 'C) Three instrument approaches in a helicopter.']	['A']
4027.	SC	To meet the minimum required instrument experience to remain current for IFR operations, you must accomplish during the past 6 months at least six instrument approaches including	['A) holding procedures intercepting and tracking courses through the use of navigation systems.', 'B) and 6 hours of instrument time in any aircraft.', 'C) three of which must be in the same category and class of aircraft to be flown, and 6 hours of instrument time in any aircraft.']	['A']
4028.	SC	A certificated commercial pilot who carries passengers for hire in an airplane at night is required to have at least	['A) an associated type rating if the airplane is of the multiengine class.', 'B) a First-Class Medical Certificate.', 'C) an airplane instrument pilot rating.']	['C']
4029.	SC	You intend to carry passengers for hire on a night VFR flight in a single engine airplane within a 25 mile radius of the departure airport. You are required to possess at least which rating(s)?	['A) A Commercial Pilot Certificate with a single engine land rating.', 'B) A Commercial Pilot Certificate with a single engine and instrument (airplane) rating.', 'C) A Private Pilot Certificate with a single engine land and instrument airplane rating.']	['B']
4031.	SC	Under which condition must the pilot in command of a civil aircraft have at least an instrument rating?	['A) When operating in class E airspace.', 'B) For a flight in VFR conditions while on an IFR flight plan.', 'C) For any flight above an altitude of 1,200 feet AGL, when the visibility is less than 3 miles.']	['B']
4032.	SC	What are the minimum fuel requirements in IFR conditions, if the first airport of intended landing is forecast to have a 1,500 foot ceiling and 3 miles visibility at flight-planned ETA? Fuel to fly to the first airport of intended landing,	['A) and fly thereafter for 45 minutes at normal cruising speed.', 'B) fly to the alternate, and fly thereafter for 45 minutes at normal cruising speed.', 'C) fly to the alternate, and fly thereafter for 30 minutes at normal cruising speed.']	['B']
4033.	SC	Before beginning any flight under IFR, the pilot in command must become familiar with all available information concerning that flight. In addition, the pilot must	['A) list an alternate airport on the flight plan and become familiar with the instrument approaches to that airport.', 'B) list an alternate airport on the flight plan and confirm adequate takeoff and landing performance at the destination airport.', 'C) be familiar with the runway lengths at airports of intended use, and the alternatives available if the flight cannot be completed.']	['C']
4034.	SC	Which limitation is imposed on the holder of a Commercial Pilot Certificate if that person does not hold an instrument rating?	['A) That person is limited to private pilot privileges at night.', 'B) The carrying of passengers or property for hire on cross-country flights at night is limited to a radius of 50 NM.', 'C) The carrying of passengers for hire on cross-country flights is limited to 50 NM and the carrying of passengers for hire at night is prohibited.']	['C']
4035.	SC	To carry passengers for hire in an airplane on cross- country flights of more than 50 NM from the departure airport, the pilot in command is required to hold at least	['A) a Category II pilot authorization.', 'B) a First-Class Medical certificate.', 'C) a Commercial Pilot Certificate with an instrument rating.']	['C']
4036.	SC	When must an operational check on the aircraft VOR equipment be accomplished when used to operate under IFR?	['A) Within the preceding 10 days or 10 hours of flight time.', 'B) Within the preceding 30 days or 30 hours of flight time.', 'C) Within the preceding 30 days.']	['C']
4037.	SC	In the 48 contiguous states, excluding the airspace at or below 2,500 feet AGL, an operable coded transponder equipped with Mode C capability is required in all controlled airspace at and above	['A) 12,500 feet MSL.', 'B) 10,000 feet MSL.', 'C) Flight level (FL) 180.']	['B']
4038.	SC	A coded transponder equipped with altitude reporting capability is required in all controlled airspace	['A) at and above 10,000 feet MSL, excluding at and below 2,500 feet AGL.', 'B) at and above 2,500 feet above the surface.', 'C) below 10,000 feet MSL, excluding at and below 2,500 feet AGL.']	['A']
4039.	SC	Who is responsible for determining that the altimeter system has been checked and found to meet 14 CFR part 91 requirements for a particular instrument flight?	['A) Owner.', 'B) Operator.', 'C) Pilot-in-command.']	['C']
4042.	SC	If an unpressurized aircraft is operated above 12,500 feet MSL, but not more than 14,000 feet MSL, for a period of 2 hours 20 minutes, how long during that time is the minimum flight crew required to use supplemental oxygen?	['A) 2 hours 20 minutes.', 'B) 1 hour 20 minutes.', 'C) 1 hour 50 minutes.']	['C']
4044.	SC	Which data must be recorded in the aircraft log or other appropriate log by a pilot making a VOR operational check for IFR operations?	['A) VOR name or identification, date of check, amount of bearing error, and signature.', 'B) Place of operational check, amount of bearing error, date of check, and signature.', 'C) Date of check, VOR name or identification, place of operational check, and amount of bearing error.']	['B']
4045.	SC	What is the maximum cabin pressure altitude at which a pilot can fly for longer than 30 minutes without using supplemental oxygen.	['A) 10,500 feet.', 'B) 12,000 feet.', 'C) 12,500 feet.']	['C']
4046.	SC	What record shall be made in the aircraft log or other permanent record by the pilot making the VOR operational check?	['A) The date, place, bearing error, and signature.', 'B) The date, frequency of VOR or VOT, number of flight hours since last check, and signature.', 'C) The date, place, satisfactory or unsatisfactory, and signature.']	['A']
4047.	SC	Your aircraft had the static pressure system and altimeter tested and inspected on January 5, of this year, and was found to comply with FAA standards. These systems must be reinspected and approved for use in controlled airspace under IFR by	['A) January 5, next year.', 'B) January 5, 2 years hence.', 'C) January 31, 2 years hence.']	['C']
4048.	SC	Which checks and inspections of flight instruments or instrument systems must be accomplished before an aircraft can be flown under IFR?	['A) VOR within 30 days, altimeter systems within 24 calendar months, and transponder within 24 calendar months.', 'B) ELT test within 30 days, altimeter systems within 12 calendar months, and transponder within 24 calendar months.', 'C) VOR within 24 calendar months, transponder within 24 calendar months, and altimeter system within 12 calendar months.']	['A']
4049.	SC	An aircraft altimeter system test and inspection must be accomplished within	['A) 12 calendar months.', 'B) 18 calendar months.', 'C) 24 calendar months.']	['C']
4051.	SC	An aircraft operated under 14 CFR part 91 IFR is required to have which of the following?	['A) Radar altimeter.', 'B) Dual VOR system.', 'C) Gyroscopic direction indicator']	['C']
4052.	SC	What is the maximum IFR altitude you may fly in an unpressurized aircraft without providing passengers with supplemental oxygen?	['A) 12,500 feet.', 'B) 14,000 feet.', 'C) 15,000 feet.']	['C']
4053.	SC	What is the oxygen requirement for an unpressurized aircraft at 15,000 feet?	['A) All occupants must use oxygen for the entire time at this altitude.', 'B) Crew must start using oxygen at 12,000 feet and passengers at 15,000 feet.', 'C) Crew must use oxygen for the entire time above 14,000 feet and passengers must be provided supplemental oxygen only above 15,000 feet.']	['C']
4054.	SC	When making an airborne VOR check, what is the maximum allowable tolerance between the two indicators of a dual VOR system (units independent of each other except the antenna)?	['A) 4° between the two indicated bearings of a VOR.', 'B) Plus or minus 4° when set to identical radials of a VOR.', 'C) 6° between the two indicated radials of a VOR.']	['A']
4055.	SC	What minimum navigation equipment is required for IFR flight?	['A) VOR/LOC receiver, transponder, and DME.', 'B) VOR receiver and, if in ARTS III environment, a coded transponder equipped for altitude reporting.', 'C) Navigation equipment appropriate to the ground facilities to be used.']	['C']
4059.	SC	When may a pilot file a composite flight plan?	['A) When requested or advised by ATC.', 'B) Any time a portion of the flight will be VFR.', 'C) Any time a landing is planned at an intermediate airport.']	['B']
4060.	SC	When filing a composite flight plan where the first portion of the flight is IFR, which fix(es) should be indicated on the flight plan form?	['A) All points of transition from one airway to another, fixes defining direct route segments, and the clearance limit fix.', 'B) Only the fix where you plan to terminate the IFR portion of the flight.', 'C) Only those compulsory reporting points on the IFR route segment.']	['A']
4061.	SC	What is the recommended procedure for transitioning from VFR to IFR on a composite flight plan?	['A) Prior to transitioning to IFR, contact the nearest FSS, close the VFR portion, and request ATC clearance.', 'B) Upon reaching the proposed point for change to IFR, contact the nearest FSS and cancel your VFR flight plan, then contact ARTCC and request an IFR clearance.', 'C) Prior to reaching the proposed point for change to IFR, contact ARTCC, request your IFR clearance, and instruct them to cancel the VFR flight plan.']	['A']
4062.	SC	When is an IFR flight plan required?	['A) When less than VFR conditions exist in either Class E or Class G airspace and in Class A airspace.', 'B) In all Class E airspace when conditions are below VFR, in Class A airspace, and in defense zone airspace.', 'C) In Class E airspace when IMC exists or in Class A airspace.']	['C']
4063.	SC	Prior to which operation must an IFR flight plan be filed and an appropriate ATC clearance received?	['A) Flying by reference to instruments in controlled airspace.', 'B) Entering controlled airspace when IMC exists.', 'C) Takeoff when IFR weather conditions exist.']	['B']
4064.	SC	To operate under IFR below 18,000 feet, a pilot must file an IFR flight plan and receive an appropriate ATC clearance prior to	['A) entering controlled airspace.', 'B) entering weather conditions below VFR minimums.', 'C) takeoff.']	['A']
4065.	SC	To operate an aircraft under IFR, a flight plan must have been filed and an ATC clearance received prior to	['A) controlling the aircraft solely by use of instruments.', 'B) entering weather conditions in any airspace.', 'C) entering controlled airspace.']	['C']
4066.	SC	When is an IFR clearance required during VFR weather conditions?	['A) When operating in the Class E airspace.', 'B) When operating in a Class A airspace.', 'C) When operating in airspace above 14,500 feet.']	['B']
4067.	SC	Operation in which airspace requires filing an IFR flight plan?	['A) Any airspace when the visibility is less than 1 mile.', 'B) Class E airspace with IMC and positive control area.', 'C) Positive control area, Continental Control Area, and all other airspace, if the visibility is less than 1 mile.']	['B']
4068.	SC	When departing from an airport located outside controlled airspace during IMC, you must file an IFR flight plan and receive a clearance before	['A) takeoff.', 'B) entering IFR conditions.', 'C) entering Class E airspace.']	['C']
4070.	SC	Preferred IFR routes beginning with a fix, indicate that departing aircraft will normally be routed to the fix by	["A) the established airway(s) between the departure airport and the fix.", "B) an instrument departure procedure (DP), or radar vectors.", "C) direct route only."]	['B']
4080.	SC	What is the purpose of FDC NOTAMs?	['A) To provide the latest information on the status of navigation facilities to all FSS facilities for scheduled broadcasts.', 'B) To issue notices for all airports and navigation facilities in the shortest possible time.', 'C) To advise of changes in flight data which affect instrument approach procedure (IAP), aeronautical charts, and flight restrictions prior to normal publication.']	['C']
4081.	SC	What minimum weather conditions must be forecast for your ETA at an alternate airport, that has only a VOR approach with standard alternate minimums, for the airport to be listed as an alternate on the IFR flight plan?	['A) 800 foot ceiling and 1 statute mile visibility.', 'B) 800 foot ceiling and 2 statute miles visibility.', 'C) 1,000 foot ceiling and visibility to allow descent from minimum en route altitud (MEA), approach, and landing under basic VFR.']	['B']
4082.	SC	Is an alternate airport required for an IFR flight to ATL (Atlanta Hartsfield) if the proposed ETA is 1930Z? TAF KATL l2l720Z 121818 20012KT 5SM HZ BKN030 FM2000 3SM TRSA OVC025CB FM2200 33015G20KT P6SM BKN015 OVC040 BECMG 0608 02008KT BKN040 BECMG 1012 00000KT P6SM CLR=	['A) Yes, because the ceiling could fall below 2,000 feet within 2 hours before to 2 hours after the ETA.', 'B) No, because the ceiling and visibility are forecast to remain at or above 1,000 feet and 3 miles, respectively.', 'C) No, because the ceiling and visibility are forecast to be at or above 2,000 feet and 3 miles within 1 hour before to 1 hour after the ETA.']	['C']
4083.	SC	What minimum conditions must exist at the destination airport to avoid listing an alternate airport on an IFR flight plan when a standard IAP is available?	['A) From 2 hours before to 2 hours after ETA, forecast ceiling 2,000, and visibility 2 and 1/2 miles.', 'B) From 2 hours before to 2 hours after ETA, forecast ceiling 3,000, and visibility 3 miles.', 'C) From 1 hour before to 1 hour after ETA, forecast ceiling 2,000, and visibility 3 miles.']	['C']
4085.	SC	What standard minimums are required to list an airport as an alternate on an IFR flight plan if the airport has a VOR approach only?	['A) Ceiling and visibility at ETA, 800 feet and 2 miles, respectively.', 'B) Ceiling and visibility from 2 hours before until 2 hours after ETA, 800 feet and 2 miles, respectively.', 'C) Ceiling and visibility at ETA, 600 feet and 2 miles, respectively.']	['A']
4086.	SC	What are the minimum weather conditions that must be forecast to list an airport as an alternate when the airport has no approved IAP?	['A) The ceiling and visibility at ETA, 2,000 feet and 3 miles, respectively.', 'B) The ceiling and visibility from 2 hours before until 2 hours after ETA, 2,000 feet and 3 miles, respectively.', 'C) The ceiling and visibility at ETA must allow descent from MEA, approach, and landing, under basic VFR.']	['C']
4087.	SC	What minimum weather conditions must be forecast for your ETA at an airport that has a precision approach procedure, with standard alternate minimums, in order to list it as an alternate for the IFR flight?	['A) 600-foot ceiling and 2 SM visibility at your ETA.', 'B) 600-foot ceiling and 2 SM visibility from 2 hours before to 2 hours after your ETA.', 'C) 800-foot ceiling and 2 SM visibility at your ETA.']	['A']
4372.	SC	What is the maximum tolerance allowed for an operational VOR equipment check when using a VOT?	['A) Plus or minus 4°.', 'B) Plus or minus 6°.', 'C) Plus or minus 8°.']	['A']
4373.	SC	When is a pilot on an IFR flight plan responsible for avoiding other aircraft?	['A) At all times when not in radar contact with ATC.', 'B) When weather conditions permit, regardless of whether operating under IFR or VFR.', 'C) Only when advised by ATC.']	['B']
4375.	SC	The aircraft's transponder fails during flight within Class D airspace.	['A) The pilot should immediately request clearance to depart the Class D airspace.', 'B) No deviation is required because a transponder is not required in Class D airspace.', 'C) Pilot must immediately request priority handling to proceed to destination.']	['B']
4376.	SC	When using a VOT to make a VOR receiver check, the CDI should be centered and the OBS should indicate that the aircraft is on the	['A) 090 radial.', 'B) 180 radial.', 'C) 360 radial.']	['C']
4377.	SC	How should the pilot make a VOR receiver check when the aircraft is located on the designated checkpoint on the airport surface?	['A) Set the OBS on 180° plus or minus 4°; the CDI should center with a FROM indication.', 'B) Set the OBS on the designated radial. The CDI must center within plus or minus 4° of that radial with a FROM indication.', 'C) With the aircraft headed directly toward the VOR and the OBS set to 000°, the CDI should center within plus or minus 4° of that radial with a TO indication.']	['B']
4378.	SC	When the CDI needle is centered during an airborne VOR check, the omni-bearing selector and the TO/ FROM indicator should read	['A) within 4° of the selected radial.', 'B) within 6° of the selected radial.', 'C) 0° TO, only if you are due south of the VOR.']	['B']
4379.	SC	What does declaring 'minimum fuel' to ATC imply?	['A) Traffic priority is needed to the destination airport.', 'B) Emergency handling is required to the nearest useable airport.', 'C) Merely an advisory that indicates an emergency situation is possible should any undue delay occur.']	['C']
4380.	SC	When ATC has not imposed any climb or descent restrictions and aircraft are within 1,000 feet of assigned altitude, pilots should attempt to both climb and descend at a rate of between	['A) 500 feet per minute and 1,000 feet per minute.', 'B) 500 feet per minute and 1,500 feet per minute.', 'C) 1000 feet per minute and 2,000 feet per minute.']	['B']
4381.	SC	During an IFR flight in IMC, a distress condition is encountered, (fire, mechanical, or structural failure). The pilot should	['A) not hesitate to declare an emergency and obtain an amended clearance.', 'B) wait until the situation is immediately perilous before declaring an emergency.', 'C) contact ATC and advise that an urgency condition exists and request priority consideration.']	['A']
4383.	SC	While airborne, what is the maximum permissible variation between the two indicated bearings when checking one VOR system against the other?	['A) Plus or minus 4° when set to identical radials of a VOR', 'B) 4° between the two indicated bearings to a VOR.', 'C) Plus or minus 6° when set to identical VOR radials.']	['B']
4386.	SC	Where can the VOT frequency for a particular airport be found?	['A) On the lAP Chart and in the Chart Supplement.', 'B) Only in the Chart Supplement.', 'C) In the Chart Supplement and on the A/G Voice Communication Panel of the En Route Low Altitude Chart.']	['B']
4387.	SC	Which indications are acceptable tolerances when checking both VOR receivers by use of the VOT?	['A) 360° TO and 003° TO, respectively.', 'B) 001° FROM and 005° FROM, respectively.', 'C) 176° TO and 003° FROM, respectively.']	['C']
4388.	SC	In which publication can the VOR receiver ground checkpoint(s) for a particular airport be found?	['A) Airman’s Information Manual.', 'B) En Route Low Altitude Chart.', 'C) Chart Supplement.']	['C']
4389.	SC	Which is the maximum tolerance for the VOR indication when the CDI is centered and the airplane is directly over the airborne checkpoint?	['A) Plus or minus 6° of the designated radial.', 'B) Plus or minus 7° of the designated radial.', 'C) Plus or minus 8° of the designated radial.']	['A']
4390.	SC	When should your transponder be on Mode C while on an IFR flight?	['A) Only when ATC requests Mode C.', 'B) At all times if the equipment has been calibrated, unless requested otherwise by ATC.', 'C) When passing 12,500 feet MSL.']	['B']
4391.	SC	When making an airborne VOR check, what is the maximum allowable tolerance between the two indicators of a dual VOR system (units independent of each other except the antenna)?	['A) 4° between the two indicated radials of a VOR.', 'B) Plus or minus 4° when set to identical radials of a VOR.', 'C) 6° between the two indicated radials of a VOR.']	['A']
4393.	SC	What is the recommended climb procedure when a non-radar departure control instructs a pilot to climb to the assigned altitude?	['A) Maintain a continuous optimum climb until reaching assigned altitude and report passing each 1,000 foot level.', 'B) Climb at a maximum angle of climb to within 1,000 feet of the assigned altitude, then 500 feet per minute the last 1,000 feet.', 'C) Maintain an optimum climb on the centerline of the airway without intermediate level offs until 1,000 feet below assigned altitude, then 500 to 1500 feet per minute.']	['C']
4394.	SC	When departing from an airport not served by a control tower, the issuance of a clearance containing a void time indicates that	['A) ATC will assume the pilot has not departed if no transmission is received before the void time.', 'B) the pilot must advise ATC as soon as possible, but no later than 30 minutes, of their intentions if not off by the void time.', 'C) ATC will protect the airspace only to the void time.']	['B']
4395.	SC	What response is expected when ATC issues an IFR clearance to pilots of airborne aircraft?	['A) Read back the entire clearance as required by regulation.', 'B) Read back those parts containing altitude assignments or vectors and any part requiring verification.', 'C) Read-back should be unsolicited and spontaneous to confirm that the pilot understands all instructions.']	['B']
4396.	SC	Which clearance items are always given in an abbreviated IFR departure clearance? (Assume radar environment.)	['A) Altitude, destination airport, and one or more fixes which identify the initial route of flight.', 'B) Destination airport, altitude, DP Name, Number and/or Transition if appropriate.', 'C) Clearance limit, and DP Name, Number, and/or Transition, if appropriate.']	['B']
4398.	SC	On the run-up pad, you receive the following clearance from ground control: CLEARED TO DALLAS-LOVE AIRPORT AS FILED - MAINTAIN SIX THOUSAND -SQUAWK ZERO SEVEN ZERO FOUR JUST BEFORE DEPARTURE - DEPARTURE CONTROL WILL BE ONE TWO FOUR POINT NINER. An abbreviated clearance, such as this, will always contain the;	['A) departure control frequency.', 'B) requested enroute altitude.', 'C) destination airport and route.']	['C']
4402.	SC	How should you preflight check the altimeter prior to an IFR flight?	['A) Set the altimeter to 29.92” Hg. With current temperature and the altimeter indication, determine the true altitude to compare with the field elevation.', 'B) Set the altimeter first with 29.92” Hg and then the current altimeter setting. The change in altitude should correspond to the change in setting.', 'C) Set the altimeter to the current altimeter setting. The indication should be within 75 feet of the actual elevation for acceptable accuracy.']	['C']
4403.	SC	When are ATIS broadcasts updated?	['A) Every 30 minutes if weather conditions are below basic VFR; otherwise, hourly.', 'B) Upon receipt of any official weather, regardless of content change or reported values.', 'C) Only when the ceiling and/or visibility changes by a reportable value.']	['B']
4404.	SC	Absence of the sky condition and visibility on an ATIS broadcast specifically implies that	['A) the ceiling is more than 5,000 feet and visibility is 5 miles or more.', 'B) the sky condition is clear and visibility is unrestricted.', 'C) the ceiling is at least 3,000 feet and visibility is 5 miles or more.']	['A']
4405.	SC	The most current en route and destination flight information for planning an instrument flight should be obtained from	['A) the ATIS broadcast', 'B) AFSS Publications', 'C) Notices to Airmen Publications']	['B']
4406.	SC	From what source can you obtain the latest FDC NOTAM’s?	['A) In Notices to Airmen.', 'B) AFSS / FSS.', 'C) Chart Supplements U.S.']	['B']
4407.	SC	When may ATC request a detailed report of an emergency even though a rule has not been violated?	['A) When priority has been given.', 'B) Any time an emergency occurs.', 'C) When the emergency occurs in controlled airspace.']	['A']
4414.	SC	Which information is always given in an abbreviated clearance?	['A) DP or transition name and attitude to maintain.', 'B) Name of destination airport or specific fix and altitude.', 'C) Altitude to maintain and code to squawk.']	['B']
4417.	SC	What action Is recommended if a pilot does not wish to use an instrument departure procedure?	["A) Advise clearance delivery or ground control before departure.", "B) Advise departure control upon initial contact.", "C) Enter ''No DP’ in the remarks section of the IFR flight plan."]	['C']
4419.	SC	Which procedure applies to instrument departure procedures?	['A) Instrument departure clearances will not be issued unless requested by the pilot.', 'B) The pilot in command must accept an instrument departure procedure when issued by ATC.', 'C) If an instrument departure procedure is accepted, the pilot must possess at least the textual description.']	['C']
4420.	SC	During a takeoff into IFR conditions with low ceilings, when should the pilot contact departure control?	['A) Before penetrating the clouds.', 'B) When advised by the tower.', 'C) Upon completing the first turn after takeoff or upon establishing cruise climb on a straight-out departure.']	['B']
4421.	SC	During a flight, the controller advises “traffic 2 o’clock 5 miles southbound.” The pilot is holding 20° correction for a crosswind from the right. Where should the pilot look for the traffic?	['A) 40° to the right of the airplane’s nose.', 'B) 20° to the right of the airplane’s nose.', 'C) Straight ahead.']	['A']
4426.	SC	In addition to a VOR receiver and two-way communications capability, which additional equipment is required for IFR operation in Class B airspace?	['A) Another VOR and communications receiver and a coded transponder.', 'B) Standby communications receiver, DME, and coded transponder.', 'C) An operable coded transponder having Mode C capability.']	['C']
4427.	SC	No person may operate an aircraft in controlled airspace under IFR unless he/she files a flight plan	['A) and receives a clearance by telephone prior to takeoff.', 'B) prior to takeoff and requests the clearance upon arrival on an airway.', 'C) receives clearance prior the entering controlled airspace.']	['C']
4439.	SC	Prior to operating an aircraft not equipped with a transponder in Class B airspace, a request for a deviation must be submitted to the	['A) FAA Administrator at least 24 hours before the proposed operation.', 'B) nearest FAA General Aviation District Office 24 hours before the proposed operation.', 'C) controlling ATC facility at least 1 hour before the proposed flight.']	['C']
4440.	SC	Which of the following is required equipment for operating an airplane within Class B airspace?	['A) A 4096 code transponder with automatic pressure altitude reporting equipment.', 'B) A VOR receiver with DME.', 'C) A 4096 code transponder.']	['A']
4441.	SC	Which procedure is recommended while climbing to an assigned altitude on the airway?	['A) Climb on the centerline of the airway except when maneuvering to avoid other air traffic in VFR conditions.', 'B) Climb slightly on the right side of the airway when in VFR conditions.', 'C) Climb far enough to the right side of the airway to avoid climbing or descending traffic coming from the opposite direction if in VFR conditions.']	['A']
4442.	SC	Which clearance procedures may be issued by ATC without prior pilot request?	['A) DP’s, STAR’s and contact approaches.', 'B) Contact and visual approaches.', 'C) DP’s, STAR’s, and visual approaches.']	['C']
4447.	SC	Where are VFR-on-Top operations prohibited?	['A) In Class A airspace.', 'B) During off-airways direct flights.', 'C) When flying through Class B airspace.']	['A']
